target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,15.0,motion_only,extra_trees,group_cv,458,106,0.7969432314410481,0.7425978225382087,0.7695137683616946,0.7425978225382087,0.7473913706199741,0.7507186043720784,4,0.757101482798247,0.07421447534161532
multiclass,15.0,motion_only,hist_gradient_boosting,group_cv,458,106,0.7882096069868996,0.7610630813648913,0.7713489084790472,0.7610630813648913,0.7647372439209065,0.7404329882602623,4,0.7321910629521899,0.04925253801245382
multiclass,15.0,motion_only,knn,group_cv,458,106,0.6834061135371179,0.632309015210041,0.6478340160495358,0.632309015210041,0.6338560635164573,0.6117453040092887,4,0.6178967002576556,0.0564927310562443
multiclass,15.0,motion_only,logistic_regression,group_cv,458,106,0.8209606986899564,0.8097842620052184,0.8071820659833592,0.8097842620052184,0.8049383562749158,0.7822640611993631,4,0.7792014250387114,0.020564904061133715
multiclass,15.0,motion_only,random_forest,group_cv,458,106,0.7838427947598253,0.728772811774792,0.7652627675757114,0.728772811774792,0.7342463458060081,0.7347841288802427,4,0.7435780255763587,0.09854603661146895
multiclass,15.0,motion_only,svm_rbf,group_cv,458,106,0.8013100436681223,0.7664876119024625,0.7704999231647348,0.7664876119024625,0.7653667614914981,0.757440197488313,4,0.7518914927323399,0.06428430748072604
multiclass,15.0,motion_pulse,dummy_most_frequent,group_cv,458,144,0.1812227074235808,0.11887880506712044,0.051006797486212646,0.11887880506712044,0.06970751191856721,-0.12250104967165146,4,0.0,0.0
multiclass,15.0,motion_pulse,extra_trees,group_cv,458,144,0.8930131004366813,0.8729010541400166,0.8831231700376811,0.8729010541400166,0.8755245729617807,0.8695308028725847,4,0.8629145675442931,0.055564081954553715
multiclass,15.0,motion_pulse,hist_gradient_boosting,group_cv,458,144,0.8231441048034934,0.8022601459851457,0.8100004984644192,0.8022601459851457,0.8035493204640458,0.7836889153163439,4,0.7751364704928974,0.03349278542309619
multiclass,15.0,motion_pulse,knn,group_cv,458,144,0.7008733624454149,0.67260622382179,0.6905521480818256,0.67260622382179,0.67721746465128,0.6336668852280659,4,0.6353732509941454,0.12019142601191841
multiclass,15.0,motion_pulse,logistic_regression,group_cv,458,144,0.8427947598253275,0.840336824034078,0.8421434121434123,0.840336824034078,0.8366527531541754,0.8093550462016588,4,0.8050892744118334,0.06319847722884273
multiclass,15.0,motion_pulse,random_forest,group_cv,458,144,0.9148471615720524,0.8959557880948344,0.9005777938415509,0.8959557880948344,0.8978260387406487,0.8954741758197813,4,0.8925639865092763,0.05221644018148621
multiclass,15.0,motion_pulse,svm_rbf,group_cv,458,144,0.7991266375545851,0.7819693627934735,0.7836749073308212,0.7819693627934735,0.7814679341103021,0.7549497768968475,4,0.7525305736830876,0.10383802151799894
multiclass,15.0,motion_pulse_thermal,dummy_most_frequent,group_cv,458,209,0.1812227074235808,0.11887880506712044,0.051006797486212646,0.11887880506712044,0.06970751191856721,-0.12250104967165146,4,0.0,0.0
multiclass,15.0,motion_pulse_thermal,extra_trees,group_cv,458,209,0.8122270742358079,0.7608199259559792,0.78068601922371,0.7608199259559792,0.7657896946959263,0.7701057253659892,4,0.7707392344217753,0.11099446491962504
multiclass,15.0,motion_pulse_thermal,hist_gradient_boosting,group_cv,458,209,0.8253275109170306,0.795787074832648,0.8063367076269756,0.795787074832648,0.7983797563566549,0.7858658445569772,4,0.7788424399886815,0.05233910487103335
multiclass,15.0,motion_pulse_thermal,knn,group_cv,458,209,0.5786026200873362,0.5423201767352454,0.5666764551520339,0.5423201767352454,0.5497644672488563,0.47901929667525256,4,0.47889851624278523,0.09631198563315158
multiclass,15.0,motion_pulse_thermal,logistic_regression,group_cv,458,209,0.7947598253275109,0.7909558853781097,0.7932220016934184,0.7909558853781097,0.7844357098468145,0.7506116190566808,4,0.7452487700148593,0.050527071476947835
multiclass,15.0,motion_pulse_thermal,random_forest,group_cv,458,209,0.9061135371179039,0.8823092674432198,0.8929344840600569,0.8823092674432198,0.8863685224120718,0.8848743178086104,4,0.8819843046195233,0.058661742818447424
